"time","(sec)","obs_congestion_control-network_without_cc_offerload_0_1-DES-1:","Logical","Network.core_node_0.OBS","Node","Stats.Burst","Blocking","Transit",,"obs_congestion_control-network_without_cc_offerload_0_2-DES-1:","Logical","Network.core_node_0.OBS","Node","Stats.Burst","Blocking","Transit",,"obs_congestion_control-network_without_cc_offerload_0_3-DES-1:","Logical","Network.core_node_0.OBS","Node","Stats.Burst","Blocking","Transit",,"obs_congestion_control-network_without_cc_offerload_0_4-DES-1:","Logical","Network.core_node_0.OBS","Node","Stats.Burst","Blocking","Transit",,"obs_congestion_control-network_without_cc_offerload_0_5-DES-1:","Logical","Network.core_node_0.OBS","Node","Stats.Burst","Blocking","Transit",,"obs_congestion_control-network_without_cc_offerload_0_6-DES-1:","Logical","Network.core_node_0.OBS","Node","Stats.Burst","Blocking","Transit",,"obs_congestion_control-network_without_cc_offerload_0_7-DES-1:","Logical","Network.core_node_0.OBS","Node","Stats.Burst","Blocking","Transit",,"obs_congestion_control-network_without_cc_offerload_0_8-DES-1:","Logical","Network.core_node_0.OBS","Node","Stats.Burst","Blocking","Transit",,"obs_congestion_control-network_without_cc_offerload_0_9-DES-1:","Logical","Network.core_node_0.OBS","Node","Stats.Burst","Blocking","Transit",,"obs_congestion_control-network_without_cc_offerload_0_10-DES-1:","Logical","Network.core_node_0.OBS","Node","Stats.Burst","Blocking","Transit"
1.45,0,0,0.000226193,0.008729226,0.025422583,0.075790684,0.077846289,0.074772576,0.07245883,0.096283027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5,0,0,0,0.008816548,0.026702997,0.058098592,0.079591613,0.085654288,0.069032405,0.09272707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.55,0,0,0.000438404,0.006507964,0.028626479,0.057842441,0.076349276,0.083185053,0.07237292,0.097070205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.6,0,0,0.00022007,0.003744044,0.021104564,0.05729291,0.080865479,0.091385851,0.074492099,0.069328704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.65,0,0,0.000444741,0.008555611,0.026719649,0.062198707,0.083433702,0.081417305,0.072190412,0.075789474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.7,0,0,0.000436872,0.004217274,0.032719836,0.064057358,0.08203039,0.091446415,0.073732719,0.069962687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.75,0,0,0.00022604,0.005713325,0.023227217,0.065179301,0.079123288,0.086946976,0.074471692,0.072022485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.8,0,0,0.001118068,0.008484445,0.027105118,0.068547447,0.090958665,0.08697562,0.072884013,0.073635841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.85,0,0,0.000222321,0.005565863,0.026391753,0.057883523,0.087159449,0.098028417,0.076233184,0.068398667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.9,0,0,0,0.005505506,0.029715229,0.070374707,0.08165257,0.095133713,0.074528618,0.071727019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.95,0,0,0,0.004778157,0.02734375,0.068603141,0.08257674,0.088264463,0.071747877,0.067274406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,0,0.000430015,0.007768595,0.02561293,0.067551692,0.083109343,0.096857791,0.081346111,0.078738345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
