time (sec),obs_congestion_control-single_node_offerload_0_1-DES-1: Logical Network.core_node.OBS Node Stats.Burst Blocking Transit ,obs_congestion_control-single_node_offerload_0_2-DES-1: Logical Network.core_node.OBS Node Stats.Burst Blocking Transit ,obs_congestion_control-single_node_offerload_0_3-DES-1: Logical Network.core_node.OBS Node Stats.Burst Blocking Transit ,obs_congestion_control-single_node_offerload_0_4-DES-1: Logical Network.core_node.OBS Node Stats.Burst Blocking Transit ,obs_congestion_control-single_node_offerload_0_5-DES-1: Logical Network.core_node.OBS Node Stats.Burst Blocking Transit ,obs_congestion_control-single_node_offerload_0_6-DES-1: Logical Network.core_node.OBS Node Stats.Burst Blocking Transit ,obs_congestion_control-single_node_offerload_0_7-DES-1: Logical Network.core_node.OBS Node Stats.Burst Blocking Transit ,obs_congestion_control-single_node_offerload_0_8-DES-1: Logical Network.core_node.OBS Node Stats.Burst Blocking Transit ,obs_congestion_control-single_node_offerload_0_9-DES-1: Logical Network.core_node.OBS Node Stats.Burst Blocking Transit ,obs_congestion_control-single_node_offerload_0_10-DES-1: Logical Network.core_node.OBS Node Stats.Burst Blocking Transit ,,
3.9,0,0,0.004888889,0.027752708,0.064353665,0.09392403,0.096082167,0.096510269,0.096608768,0.092562958,,
3.95,0,0.000220216,0.006658775,0.030906827,0.066438736,0.094772631,0.09999166,0.104518599,0.09718521,0.096002016,,
4,0,0,0.003550821,0.022217184,0.066759647,0.091342934,0.10353953,0.097637277,0.090483235,0.091334895,,
4.05,0,0.00021815,0.004617906,0.024906175,0.060850028,0.093596476,0.100174578,0.101741294,0.097280421,0.095852065,,
4.1,0,0.000224871,0.005550555,0.028934529,0.058178034,0.090245971,0.103187644,0.096905335,0.096428277,0.093802066,,
4.15,0,0.000226193,0.004635167,0.026914414,0.066772953,0.088220382,0.093724195,0.09931422,0.095328179,0.096066566,,
4.2,0,0,0.005943536,0.030946065,0.064585677,0.092835947,0.097884695,0.097544736,0.106191028,0.098128863,,
4.25,0,0,0.003584765,0.027558166,0.058373477,0.094282341,0.095784812,0.100595632,0.104430901,0.091487936,,
4.3,0,0.000445931,0.004763322,0.029955457,0.070368642,0.092922238,0.097535183,0.093894772,0.091236987,0.089285714,,
4.35,0,0,0.0074225,0.027453205,0.062393,0.091033422,0.100759828,0.098626306,0.100320171,0.089793875,,
4.4,0,0,0.006159856,0.030152456,0.060866247,0.095258256,0.099068932,0.102648733,0.106761566,0.086767533,,
4.45,0,0,0.006990927,0.025047737,0.059792271,0.098065489,0.097175327,0.095355528,0.101400606,0.09133217,,
4.5,0,0.000665336,0.005980163,0.03092437,0.067290255,0.089791105,0.101768109,0.101066909,0.100607254,0.094484253,,
