"time","(sec)","obs_congestion_control-network_without_cc_offerload_0_1-DES-1:","Logical","Network.core_node_0.OBS","Node","Stats.Burst","Blocking","Transit",,"obs_congestion_control-network_without_cc_offerload_0_2-DES-1:","Logical","Network.core_node_0.OBS","Node","Stats.Burst","Blocking","Transit",,"obs_congestion_control-network_without_cc_offerload_0_3-DES-1:","Logical","Network.core_node_0.OBS","Node","Stats.Burst","Blocking","Transit",,"obs_congestion_control-network_without_cc_offerload_0_4-DES-1:","Logical","Network.core_node_0.OBS","Node","Stats.Burst","Blocking","Transit",,"obs_congestion_control-network_without_cc_offerload_0_5-DES-1:","Logical","Network.core_node_0.OBS","Node","Stats.Burst","Blocking","Transit",,"obs_congestion_control-network_without_cc_offerload_0_6-DES-1:","Logical","Network.core_node_0.OBS","Node","Stats.Burst","Blocking","Transit",,"obs_congestion_control-network_without_cc_offerload_0_7-DES-1:","Logical","Network.core_node_0.OBS","Node","Stats.Burst","Blocking","Transit",,"obs_congestion_control-network_without_cc_offerload_0_8-DES-1:","Logical","Network.core_node_0.OBS","Node","Stats.Burst","Blocking","Transit",,"obs_congestion_control-network_without_cc_offerload_0_9-DES-1:","Logical","Network.core_node_0.OBS","Node","Stats.Burst","Blocking","Transit",,"obs_congestion_control-network_without_cc_offerload_0_10-DES-1:","Logical","Network.core_node_0.OBS","Node","Stats.Burst","Blocking","Transit"
1.95,0,0,0,0.006356641,0.022252374,0.067922307,0.110680628,0.146534465,0.197895481,0.238083416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,0,0.000222222,0.005204835,0.017881518,0.059294118,0.105092205,0.148276193,0.18917726,0.244556669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.05,0,0,0,0.004688547,0.021975041,0.059174366,0.107533604,0.151164993,0.191151698,0.242112255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.1,0,0,0,0.003017097,0.02244898,0.0618169,0.107539267,0.150483559,0.190264701,0.23553719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.15,0,0,0,0.004706673,0.024191356,0.056014151,0.115712034,0.157568719,0.182555066,0.241706161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.2,0,0,0,0.003518767,0.020938826,0.06868972,0.109039489,0.147569278,0.204970039,0.238862403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.25,0,0,0,0.005351171,0.019747669,0.061700616,0.115585228,0.140901694,0.204862035,0.234268637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.3,0,0,0,0.004694836,0.025449102,0.057528409,0.114740369,0.150501672,0.191100167,0.237116819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.35,0,0,0,0.005015045,0.023224044,0.064902998,0.106691721,0.152644116,0.201913619,0.246700423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.4,0,0,0,0.004018754,0.02065498,0.06420508,0.114387659,0.141977064,0.203851615,0.238924838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.45,0,0,0,0.005859702,0.023116671,0.054815513,0.106208635,0.156315489,0.188848442,0.250103246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.5,0,0,0,0.003178321,0.019304491,0.064919736,0.106859055,0.154036087,0.193226381,0.228285546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.55,0,0,0,0.005852843,0.017793594,0.057497048,0.104970638,0.154974123,0.187244988,0.233494498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6,0,0,0.000666667,0.006187291,0.022344071,0.060430464,0.107400816,0.14948256,0.191295817,0.234266886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.65,0,0,0.000222321,0.003859708,0.019346049,0.06038048,0.112258881,0.147129532,0.198529412,0.235030685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.7,0,0,0,0.004544689,0.017857143,0.057294743,0.104715891,0.141791768,0.196396876,0.225560207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.75,0,0,0.000222272,0.005874455,0.021626768,0.058352941,0.103610184,0.144133756,0.186614173,0.240321645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.8,0,0,0,0.003848728,0.021975003,0.063012415,0.105290728,0.147255051,0.204824639,0.2325408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.85,0,0,0,0.006358768,0.024831939,0.071183229,0.115429173,0.145003828,0.193295292,0.241307603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.9,0,0,0,0.003680776,0.020090201,0.059608121,0.11728656,0.151703675,0.19784429,0.232995177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.95,0,0,0,0.00601906,0.020458265,0.058795861,0.10721349,0.149529993,0.190975306,0.241650783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,0,0,0.010202375,0.01953337,0.06295858,0.116936331,0.145544838,0.195472163,0.237493809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.05,0,0,0,0.004511278,0.028298018,0.065106936,0.106881406,0.147753237,0.187965873,0.238730944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.1,0,0,0.000222272,0.002521008,0.025672539,0.056344641,0.115912933,0.155350091,0.195004888,0.249194681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.15,0,0,0,0.008057747,0.022795935,0.056832769,0.116883117,0.150307338,0.193695711,0.239178828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
